 loan_id, loan_type, interest_rate ,loan_amount,remaining_principal,accrued_interest,remaining_interest,total_outstanding,past_due_penalty,expired_penalty, disbursement_date,repayment_start_date,repayment_frequency,repayment_end_date, number_of_repayments,loan_status,
4900002277,   BUSINESS,0.96,10000,3333.32,4800,1600,4933.32,41.77,0,03/11/2022,20/11/2022, Monthly ,23/04/2023,6,1,
4900002454,   BUSINESS,0.6,1500,1406.25,300,281.25,1687.5,0,0,15/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
4900001673,   BUSINESS,0.96,2000,2000,960,960,2960,0,0,12/03/2023,23/03/2023, Monthly ,27/08/2023,6,1,
4900002353,   BUSINESS,0.96,9000,9000,4320,4320,13320,415.3,0,30/11/2022,25/12/2022, Monthly ,28/05/2023,6,1,
4900002262,   BUSINESS,0.72,4000,2000,960,480,2480,0,0,26/01/2023,02/02/2023, Bi-Weekly ,11/05/2023,8,1,
4900002014,   BUSINESS,0.6,2500,2343.75,500,468.75,2812.5,0,0,14/03/2023,14/03/2023, Weekly ,27/06/2023,16,1,
4900002435,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,12/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002480,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,16/03/2023,16/04/2023, Monthly ,25/03/2024,12,1,
4900002434,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,27/02/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002433,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,14/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002431,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,13/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002430,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,14/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002428,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,13/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002429,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,13/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002427,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,12/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002432,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,13/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002377,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,14/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900001843,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,14/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002378,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,14/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002281,   BUSINESS,2.4,20000,20000,4000,4000,24000,0,0,16/03/2023,14/05/2023, Monthly ,14/05/2023,1,1,
4900002384,   BUSINESS,0.6,5000,2812.5,1000,562.5,3375,0,0,26/01/2023,31/01/2023, Weekly ,16/05/2023,16,1,
4900002212,   BUSINESS,0,29400,29400,0,0,29400,0,0,15/09/2022,22/03/2023, Monthly ,22/03/2023,1,1,
4900002389,   BUSINESS,0.72,10000,7966,1200,600,8566,0,0,30/01/2023,02/03/2023, Monthly ,02/04/2023,2,1,
4900001974,   BUSINESS,0.96,6000,5000,2880,2400,7400,0,0,13/02/2023,28/02/2023, Monthly ,06/08/2023,6,1,
4900002367,   BUSINESS,0.9,20000,20000,18000,18000,38000,0,0,12/03/2023,23/03/2023, Monthly ,29/02/2024,12,1,
4900002476,   BUSINESS,2.4,10000,10000,2000,2000,12000,0,0,16/03/2023,14/05/2023, Monthly ,14/05/2023,1,1,
4900002359,   BUSINESS,0.6,3000,1375,900,401,1776,6.95,0,08/12/2022,14/12/2022, Weekly ,24/05/2023,24,1,
4900002415,   BUSINESS,0.6,5000,4062.5,1000,812.5,4875,0,0,27/02/2023,01/03/2023, Weekly ,14/06/2023,16,1,
4900002388,   BUSINESS,1.2,11436.56,14124.28,2287.31,2287.3,16411.58,0,0,26/01/2023,26/03/2023, Monthly ,25/04/2023,2,1,
4900002406,   BUSINESS,0.96,15000,15000,7200,7200,22200,0,0,27/02/2023,19/03/2023, Monthly ,23/08/2023,6,1,
4900000845,   BUSINESS,0.72,6000,5000,2160,1800,6800,0,0,27/02/2023,28/02/2023, Bi-Weekly ,01/08/2023,12,1,
4900000939,   BUSINESS,0.72,6500,3741,2340,1170,4911,225.95,0,29/09/2022,30/10/2022, Monthly ,27/03/2023,6,1,
4900001048,   BUSINESS,0.6,5000,4374.5,1000,812.5,5187,0,0,27/02/2023,01/03/2023, Weekly ,14/06/2023,16,1,
4900000601,   BUSINESS,0.96,5000,3181,2400,1200,4381,19.44,0,22/12/2022,19/01/2023, Monthly ,21/06/2023,6,1,
4900002419,   BUSINESS,0.6,10000,9375,2000,1875,11250,0,0,12/03/2023,15/03/2023, Weekly ,28/06/2023,16,1,
4900000596,   BUSINESS,0.84,20000,10833.37,8400,4550,15383.37,0,0,29/12/2022,08/01/2023, Weekly ,18/06/2023,24,1,
4900002079,   BUSINESS,0.84,20000,10833.37,8400,4550,15383.37,0,0,22/12/2022,08/01/2023, Weekly ,18/06/2023,24,1,
4900002303,   BUSINESS,0.6,2000,2000,400,400,2400,0,0,16/03/2023,22/03/2023, Weekly ,05/07/2023,16,1,
4900001455,   BUSINESS,0.84,3000,1875,840,523.5,2398.5,0,0,30/01/2023,06/02/2023, Weekly ,22/05/2023,16,1,
4900002472,   BUSINESS,0.6,1500,1500,300,300,1800,0,0,16/03/2023,20/03/2023, Weekly ,03/07/2023,16,1,
4900002451,   BUSINESS,0.6,2000,1875,400,375,2250,0,0,15/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
4900001050,   BUSINESS,0.84,10000,9000,7000,6300,15300,0,0,27/02/2023,14/03/2023, Monthly ,24/12/2023,10,1,
4900002257,   BUSINESS,0.6,8333.9,8333.88,2500.17,2500.19,10834.07,0,0,16/10/2022,19/04/2023, Monthly ,17/09/2023,6,1,
4900000054,   BUSINESS,1.2,22873.13,22873.13,2287.31,2287.31,25160.44,0,0,26/01/2023,26/03/2023, Monthly ,26/03/2023,1,1,
4900002445,   BUSINESS,0.6,1000,1000,200,200,1200,0,0,14/03/2023,14/03/2023, Weekly ,27/06/2023,16,1,
4900002449,   BUSINESS,0.6,2000,1875,400,375,2250,0,0,14/03/2023,14/03/2023, Weekly ,27/06/2023,16,1,
4900001818,   BUSINESS,0.96,1500,250,720,120,370,43.37,0,29/09/2022,30/10/2022, Monthly ,27/03/2023,6,1,
4900002269,   BUSINESS,0.84,4000,3500,1120,980,4480,0,0,12/03/2023,13/03/2023, Weekly ,26/06/2023,16,1,
4900000460,   BUSINESS,0.72,27456.12,27456.12,1647.37,1647.37,29103.49,0,0,06/06/2022,06/04/2023, Monthly ,06/04/2023,1,1,
4900002327,   BUSINESS,0.6,3000,300,750,75,375,11.97,0,14/11/2022,20/11/2022, Weekly ,02/04/2023,20,1,
4900002000,   BUSINESS,0.96,1000,750,320,240,990,0.87,0,26/01/2023,26/02/2023, Monthly ,28/05/2023,4,1,
4900001752,   BUSINESS,0.6,7000,1749.94,2100,510.06,2260,0,0,10/11/2022,14/11/2022, Weekly ,24/04/2023,24,1,
4900002450,   BUSINESS,0.6,1500,1406.25,300,281.25,1687.5,0,0,15/03/2023,16/03/2023, Weekly ,29/06/2023,16,1,
